,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
10,-487.95584,67.857925,16.533056,26.273361,11.734978,9.023016,-0.11666776,7.247334,2.4499216,2.9673374,-6.8877788,-1.3648915,-1.6202681,-2.646009,-1.1277629,-3.9900286,-7.110146,-10.057459,-5.0691986,-7.1015997,-2.246809,-6.3388934,-6.612362,-2.2694535,-5.0729165,-2.1938548,-2.8232453,-4.153238,-3.4134352,-5.52293,-3.9294786,-2.7884784,-2.1183274,-1.924305,-0.4706144,1.7445956,2.7537253,3.6462102,2.0614872,-1.4280093,1
11,-461.63974,60.03224,8.292155,22.832071,8.969116,6.4620576,1.8725241,7.1507163,4.0370708,3.8614876,-6.063405,-0.19039471,-1.1788547,-1.833142,-0.6701131,-3.2888691,-6.0527334,-9.863863,-5.250691,-8.314083,-4.1090827,-6.633438,-4.704144,-1.7462304,-5.962688,-1.9640249,-4.9397826,-4.3184524,-2.073236,-6.4322624,-3.6265154,-0.7575217,0.27761963,2.0728354,3.8238163,5.126825,5.330684,3.737016,3.7698627,1.0840774,1
12,-454.10007,81.96248,16.385916,22.321878,6.067271,6.45333,0.090703994,5.5693555,1.0189967,0.4698924,-8.245246,-1.1597022,-2.2734356,-4.1184964,-2.0621815,-3.6847346,-7.020068,-10.274145,-4.608604,-7.421675,-4.0336614,-7.4814057,-7.5246553,-3.200906,-4.1638627,-2.7752378,-3.8622081,-3.3728192,-2.376261,-5.2102685,-3.6991985,-2.3461769,-2.3257256,-0.8597306,0.94394904,3.9392908,3.9410043,3.2264652,1.7541345,0.3227188,1
13,-497.2998,53.023773,6.5773716,24.492912,9.432525,8.623051,2.954291,8.460873,1.7999959,3.9352896,-5.169048,0.4080726,-0.29541373,-1.4352882,-0.6767583,-1.1275139,-4.9311595,-11.2878475,-5.8645453,-8.82192,-3.225169,-5.0651913,-6.0421643,-2.6550443,-4.664687,-2.2464101,-3.6993637,-5.0573025,-3.0227451,-3.6538653,-2.373073,-2.6112845,-2.2910671,-1.9939721,-1.2946653,3.2285302,4.260168,4.111804,3.7060773,-0.92031693,1
14,-491.0179,54.138084,8.920849,24.569515,9.377905,6.6180944,1.3238955,8.806354,2.9745674,3.0285907,-4.760234,2.0159183,-0.14310192,-2.256889,-0.98843217,-2.9783185,-4.026458,-10.3014765,-5.340766,-7.482569,-3.688063,-4.594652,-5.235588,-2.1419847,-4.9572153,-1.982254,-3.352875,-3.2400973,-2.6327183,-4.6537223,-2.6405377,-2.9984663,-0.7552375,0.013295639,1.7027035,4.7118297,3.579917,2.475494,1.489695,-0.060091868,1
15,-468.202,51.149933,4.8845835,24.083317,10.974887,9.072073,-0.37124774,5.5410385,5.0106287,2.5697625,-6.443263,1.7149597,-2.8443933,-3.3149798,1.225699,-5.2474303,-6.7302985,-10.337429,-5.689674,-7.1845617,-3.7987823,-7.2580547,-7.790974,-2.700268,-4.0787053,-1.2310741,-5.1685286,-3.4862149,-2.4220164,-3.8082592,-1.4695566,-1.0602114,3.1632493,2.8031824,3.0225234,2.8679461,1.2708985,0.23011892,0.22353427,-0.17478415,1
16,-452.17096,55.80483,11.24136,20.03036,8.323639,11.871749,5.3384066,8.788671,7.379502,-0.7591959,-6.857262,0.22452687,-3.290718,-4.0047803,1.7995087,-7.8145294,-7.4084253,-5.6648507,-8.605468,-6.3307,-6.2010837,-7.242574,-4.5219135,-3.4926243,-2.2646773,-4.1627812,-3.2743225,-0.9928016,-2.9426796,-3.6418185,-2.4240012,-1.3563976,0.18660015,2.3715317,3.4427388,4.367202,2.765611,1.7931855,0.5279602,-0.87696993,1
17,-455.11737,65.040665,9.013924,23.121548,11.830861,9.004087,-0.084623836,6.3989787,4.54328,0.41847414,-9.806244,-1.3672961,-2.4513686,-2.1655903,-3.2472858,-6.250154,-7.4206686,-12.27068,-5.3113074,-7.192398,-4.812921,-7.450164,-6.3073597,-2.3269033,-3.4911854,0.5836247,-2.3169057,-4.2240415,-2.2720947,-2.1378827,-2.3123221,-0.63719213,2.0074222,2.9748912,4.0862465,3.1243348,3.8887231,0.72536886,0.8460369,-0.49873623,1
18,-468.83078,79.28057,8.305331,22.024464,11.236779,10.489469,0.9598863,8.441363,5.907027,4.339872,-6.387529,0.75065696,-0.829699,-1.5585449,-1.7137696,-5.120165,-7.9981427,-11.880826,-5.1630692,-8.41567,-3.1417246,-6.199058,-5.155377,-0.219004,-5.013255,-1.2336787,-3.2676668,-3.2391596,-1.3552283,-5.546413,-5.6296372,-3.7736192,-0.4132642,-0.05890679,3.4546125,5.635115,5.5158806,3.7646427,0.9177797,-1.5159658,1
19,-472.19394,72.773186,7.678341,25.080297,10.313007,8.947088,3.5167096,9.395768,1.637605,4.501464,-6.0068507,-1.6814914,-0.7692711,-2.4536428,-2.9489117,-4.198864,-5.4958515,-10.9592495,-5.8967476,-6.382276,-4.0274467,-8.138007,-5.4279456,0.09949587,-3.9593835,-3.4895196,-3.3509445,-3.506769,-1.674075,-3.2580616,-3.908028,-3.0161817,-0.64652395,0.54438275,1.3605187,4.554334,4.9279695,1.379333,1.8595237,0.36794862,1
